epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1727.95,0.54625,0.3609,0.87133,0.98535,0.96468,0.99006,0.83152,0.691,0.32475,0.89237,0.000848969,0.000848969,0.000848969
43,1769.99,0.55543,0.3652,0.8786,0.97094,0.9578,0.99131,0.84723,0.68347,0.33165,0.89015,0.000834822,0.000834822,0.000834822
44,1813.19,0.56119,0.36012,0.87494,0.97948,0.96587,0.99045,0.84662,0.68616,0.32461,0.88172,0.000820675,0.000820675,0.000820675
45,1855.86,0.55755,0.35673,0.87976,0.97852,0.96432,0.99067,0.84274,0.68947,0.32265,0.89259,0.000806528,0.000806528,0.000806528
46,1897.98,0.55035,0.3528,0.87439,0.98076,0.98012,0.99189,0.84319,0.66436,0.31635,0.88146,0.00079238,0.00079238,0.00079238
47,1939.77,0.55501,0.36088,0.88005,0.99133,0.97691,0.99072,0.83708,0.69475,0.31581,0.89662,0.000778233,0.000778233,0.000778233
48,1981.86,0.55078,0.3599,0.87211,0.9789,0.95643,0.98969,0.8324,0.6813,0.3246,0.88576,0.000764086,0.000764086,0.000764086
49,2023.89,0.55326,0.35668,0.87154,0.98858,0.97223,0.9905,0.84289,0.68858,0.31767,0.89305,0.000749939,0.000749939,0.000749939
50,2065.65,0.53215,0.3526,0.87204,0.98475,0.97028,0.99135,0.8329,0.69767,0.31995,0.89016,0.000735792,0.000735792,0.000735792
51,2107.6,0.53746,0.35561,0.87263,0.9933,0.98077,0.99265,0.83972,0.69952,0.30868,0.89248,0.000721645,0.000721645,0.000721645
52,2149.53,0.53949,0.35387,0.86994,0.99447,0.96442,0.98957,0.83302,0.68994,0.32608,0.89654,0.000707498,0.000707498,0.000707498
53,2191.09,0.52417,0.34128,0.86727,0.98886,0.9863,0.99304,0.84703,0.68543,0.29931,0.89096,0.000693351,0.000693351,0.000693351
54,2233.11,0.5283,0.34361,0.87513,0.98825,0.96656,0.99113,0.8425,0.6894,0.32912,0.88653,0.000679204,0.000679204,0.000679204
55,2274.54,0.53744,0.34529,0.86984,0.99562,0.97193,0.99373,0.85081,0.6753,0.3111,0.88825,0.000665057,0.000665057,0.000665057
